ORDERID,SOURCE,ORDERSTATUS,RIDERPROVIDER,STOREID,CUSTOMERPINCODE,ORDERPLACEDDATE,VERIFIEDDATE,STOREPUSHEDDATE,BILLEDDATE,RIDERASSIGNEDDATE,OFDDATE,ARRIVEDDATE,DELIVEREDDATE,PROMISEDTAT,CANCELLEDDATE,MRP,PAYMENTMETHOD
2439,Mobile - Android,Delivered,D,232584,600088,2022-Apr-02 10:22:00,2022-Apr-02 10:23:00,2022-Apr-02 10:25:00,2022-Apr-02 10:27:00,2022-Apr-02 10:28:00,2022-Apr-02 10:40:00,2022-Apr-02 10:52:00,2022-Apr-02 10:55:00,2022-Apr-02 12:30:00,,1358.9,PREPAID
2440,Mobile - Android,Delivered,D,231656,560100,2022-Apr-02 10:22:00,2022-Apr-02 10:38:00,2022-Apr-02 10:40:00,2022-Apr-02 10:44:00,2022-Apr-02 10:46:00,2022-Apr-02 10:59:00,2022-Apr-02 11:25:00,2022-Apr-02 11:26:00,2022-Apr-02 13:00:00,,717.58,PREPAID
2441,Mobile - iOS,Delivered,D,222374,110019,2022-Apr-02 10:22:00,2022-Apr-02 10:24:00,2022-Apr-02 10:25:00,2022-Apr-02 10:29:00,2022-Apr-02 10:31:00,2022-Apr-02 11:02:00,2022-Apr-02 11:17:00,2022-Apr-02 11:20:00,2022-Apr-02 12:30:00,,980.7,PREPAID
2442,Desktop - Website,Cancelled,D,226170,700095,2022-Apr-02 10:23:00,2022-Apr-02 10:37:00,2022-Apr-02 10:39:00,2022-Apr-02 10:46:00,2022-Apr-02 10:48:00,2022-Apr-02 11:00:00,,,2022-Apr-02 13:00:00,2022-Apr-02 11:37:00,594.5,PREPAID
2443,Mobile - Android,Cancelled,D,230264,500085,2022-Apr-02 10:23:00,2022-Apr-02 10:25:00,2022-Apr-02 10:26:00,2022-Apr-02 10:27:00,2022-Apr-02 10:29:00,,,,2022-Apr-02 12:30:00,2022-Apr-02 11:05:00,601,COD
2444,Mobile - Android,Out for Delivery,K,234886,560102,2022-Apr-02 10:24:00,2022-Apr-02 10:39:00,2022-Apr-02 10:41:00,2022-Apr-02 10:47:00,2022-Apr-02 11:07:00,2022-Apr-02 11:20:00,,,2022-Apr-02 13:00:00,,484.4,COD
2445,Mobile - Android,Delivered,O,222138,110008,2022-Apr-02 10:24:00,2022-Apr-02 10:25:00,2022-Apr-02 10:27:00,2022-Apr-02 10:30:00,2022-Apr-02 10:33:00,2022-Apr-02 10:38:00,2022-Apr-02 11:46:00,2022-Apr-02 11:46:00,2022-Apr-02 12:30:00,,396,COD
2446,Mobile - iOS,Delivered,O,222756,302015,2022-Apr-02 10:24:00,2022-Apr-02 10:26:00,2022-Apr-02 10:28:00,2022-Apr-02 10:30:00,2022-Apr-02 10:38:00,2022-Apr-02 13:17:00,2022-Apr-02 13:17:00,2022-Apr-02 13:19:00,2022-Apr-02 12:30:00,,580,PREPAID
2447,Mobile - Android,Cancelled,,233728,500049,2022-Apr-02 10:24:00,2022-Apr-02 10:25:00,2022-Apr-02 10:30:00,,,,,,2022-Apr-02 12:30:00,2022-Apr-02 12:53:00,690,PREPAID
2448,Mobile - iOS,Delivered,K,232916,600115,2022-Apr-02 10:24:00,2022-Apr-02 10:38:00,2022-Apr-02 10:40:00,2022-Apr-02 10:40:00,2022-Apr-02 10:42:00,2022-Apr-02 10:56:00,2022-Apr-02 11:11:00,2022-Apr-02 11:14:00,2022-Apr-02 13:00:00,,458.04,PREPAID
2449,Mobile - Android,Delivered,D,232670,500036,2022-Apr-02 10:25:00,2022-Apr-02 10:27:00,2022-Apr-02 10:30:00,2022-Apr-02 10:32:00,2022-Apr-02 10:34:00,2022-Apr-02 10:42:00,2022-Apr-02 10:48:00,2022-Apr-02 10:49:00,2022-Apr-02 12:30:00,,767.52,PREPAID
2450,Mobile - Android,Delivered,D,228002,500029,2022-Apr-02 10:25:00,2022-Apr-02 10:42:00,2022-Apr-02 10:43:00,2022-Apr-02 10:44:00,2022-Apr-02 10:45:00,2022-Apr-02 10:55:00,2022-Apr-02 11:10:00,2022-Apr-02 11:11:00,2022-Apr-02 13:00:00,,620.36,PREPAID
2451,Mobile - Android,Out for Delivery,D,226392,700091,2022-Apr-02 10:25:00,2022-Apr-02 10:54:00,2022-Apr-02 10:55:00,2022-Apr-02 11:00:00,2022-Apr-02 11:01:00,2022-Apr-02 11:08:00,,,2022-Apr-02 13:00:00,,334.12,PREPAID
2452,Mobile - iOS,Out for Delivery,O,235080,560037,2022-Apr-02 10:26:00,2022-Apr-02 10:39:00,2022-Apr-02 10:42:00,2022-Apr-02 10:43:00,2022-Apr-02 10:58:00,2022-Apr-02 12:37:00,,,2022-Apr-02 13:00:00,,1024.28,PREPAID
2453,Mobile - Android,Out for Delivery,D,226598,700031,2022-Apr-02 10:27:00,2022-Apr-02 10:28:00,2022-Apr-02 10:31:00,2022-Apr-02 10:35:00,2022-Apr-02 10:37:00,2022-Apr-02 10:52:00,,,2022-Apr-02 12:30:00,,378.36,PREPAID
2454,Mobile - mWeb,Delivered,D,232948,560043,2022-Apr-02 10:27:00,2022-Apr-02 11:14:00,2022-Apr-02 11:18:00,2022-Apr-02 11:23:00,2022-Apr-02 11:24:00,2022-Apr-02 11:35:00,2022-Apr-02 11:52:00,2022-Apr-02 11:56:00,2022-Apr-02 13:30:00,,825.06,PREPAID
2455,Mobile - Android,Out for Delivery,D,226538,700127,2022-Apr-02 10:28:00,2022-Apr-02 10:31:00,2022-Apr-02 10:32:00,2022-Apr-02 10:38:00,2022-Apr-02 10:39:00,2022-Apr-02 10:50:00,,,2022-Apr-02 12:30:00,,874.5,PREPAID
2456,Mobile - Android,Delivered,D,231450,560077,2022-Apr-02 10:28:00,2022-Apr-02 10:31:00,2022-Apr-02 10:33:00,2022-Apr-02 10:38:00,2022-Apr-02 10:39:00,2022-Apr-02 10:55:00,2022-Apr-02 11:16:00,2022-Apr-02 11:17:00,2022-Apr-02 12:30:00,,439.1,PREPAID
2457,Mobile - mWeb,Delivered,K,230456,600004,2022-Apr-02 10:29:00,2022-Apr-02 10:30:00,2022-Apr-02 10:32:00,2022-Apr-02 10:46:00,2022-Apr-02 11:12:00,2022-Apr-02 11:12:00,2022-Apr-02 12:29:00,2022-Apr-02 12:29:00,2022-Apr-02 12:30:00,,322,COD
2458,Mobile - iOS,Cancelled,O,222006,110046,2022-Apr-02 10:30:00,2022-Apr-02 10:31:00,2022-Apr-02 10:33:00,2022-Apr-02 10:38:00,2022-Apr-02 11:31:00,2022-Apr-02 11:31:00,,,2022-Apr-02 13:00:00,2022-Apr-02 11:49:00,460,PREPAID
2459,Mobile - Android,Delivered,D,226296,700157,2022-Apr-02 10:30:00,2022-Apr-02 10:34:00,2022-Apr-02 10:36:00,2022-Apr-02 10:37:00,2022-Apr-02 10:38:00,2022-Apr-02 10:47:00,2022-Apr-02 10:53:00,2022-Apr-02 10:56:00,2022-Apr-02 13:00:00,,898.2,PREPAID
2460,Mobile - Android,Delivered,D,222608,110078,2022-Apr-02 10:31:00,2022-Apr-02 11:10:00,2022-Apr-02 11:15:00,2022-Apr-02 11:57:00,2022-Apr-02 11:58:00,2022-Apr-02 12:16:00,2022-Apr-02 12:32:00,2022-Apr-02 12:33:00,2022-Apr-02 13:30:00,,877.95,PREPAID
2461,Mobile - mWeb,Arrived,D,223430,110087,2022-Apr-02 10:31:00,2022-Apr-02 10:32:00,2022-Apr-02 10:34:00,2022-Apr-02 10:38:00,2022-Apr-02 10:40:00,2022-Apr-02 10:48:00,2022-Apr-02 11:19:00,,2022-Apr-02 13:00:00,,669.12,PREPAID
2462,Mobile - Android,Out for Delivery,O,226802,700067,2022-Apr-02 10:31:00,2022-Apr-02 10:32:00,2022-Apr-02 10:33:00,2022-Apr-02 10:38:00,2022-Apr-02 10:51:00,2022-Apr-02 10:56:00,,,2022-Apr-02 13:00:00,,325.3,PREPAID
2463,Mobile - iOS,Delivered,D,222100,110058,2022-Apr-02 10:32:00,2022-Apr-02 10:49:00,2022-Apr-02 10:51:00,2022-Apr-02 10:53:00,2022-Apr-02 10:54:00,2022-Apr-02 11:08:00,2022-Apr-02 11:54:00,2022-Apr-02 11:55:00,2022-Apr-02 13:00:00,,855.58,PREPAID
2464,Mobile - Android,Delivered,D,235080,560066,2022-Apr-02 10:33:00,2022-Apr-02 10:46:00,2022-Apr-02 10:48:00,2022-Apr-02 10:49:00,2022-Apr-02 10:50:00,2022-Apr-02 11:03:00,2022-Apr-02 11:25:00,2022-Apr-02 11:26:00,2022-Apr-02 13:00:00,,817.74,PREPAID
2465,Mobile - Android,Delivered,D,228022,500059,2022-Apr-02 10:33:00,2022-Apr-02 10:47:00,2022-Apr-02 10:49:00,2022-Apr-02 10:52:00,2022-Apr-02 10:54:00,2022-Apr-02 11:02:00,2022-Apr-02 11:19:00,2022-Apr-02 11:20:00,2022-Apr-02 13:00:00,,940.17,PREPAID
2466,Mobile - iOS,Delivered,K,231612,560102,2022-Apr-02 10:33:00,2022-Apr-02 10:36:00,2022-Apr-02 10:38:00,2022-Apr-02 10:42:00,2022-Apr-02 11:26:00,2022-Apr-02 12:55:00,2022-Apr-02 12:55:00,2022-Apr-02 12:56:00,2022-Apr-02 13:00:00,,961.87,PREPAID
2467,Mobile - Android,Delivered,K,223008,201305,2022-Apr-02 10:34:00,2022-Apr-02 10:35:00,2022-Apr-02 10:36:00,2022-Apr-02 10:43:00,2022-Apr-02 10:45:00,2022-Apr-02 11:00:00,2022-Apr-02 11:48:00,2022-Apr-02 11:50:00,2022-Apr-02 13:00:00,,799,PREPAID
2468,Mobile - Android,Delivered,O,231630,500075,2022-Apr-02 10:35:00,2022-Apr-02 11:04:00,2022-Apr-02 11:06:00,2022-Apr-02 11:13:00,2022-Apr-02 11:40:00,2022-Apr-02 11:40:00,2022-Apr-02 11:55:00,2022-Apr-02 11:56:00,2022-Apr-02 13:30:00,,806.4,PREPAID
2469,Mobile - Android,Delivered,O,222508,201301,2022-Apr-02 10:35:00,2022-Apr-02 10:48:00,2022-Apr-02 10:50:00,2022-Apr-02 11:00:00,2022-Apr-02 11:46:00,2022-Apr-02 12:09:00,2022-Apr-02 12:21:00,2022-Apr-02 12:23:00,2022-Apr-02 13:00:00,,706.26,PREPAID
2470,Mobile - Android,Assigned,D,231704,560066,2022-Apr-02 10:35:00,2022-Apr-02 10:37:00,2022-Apr-02 10:40:00,2022-Apr-02 10:42:00,2022-Apr-02 10:54:00,,,,2022-Apr-02 13:00:00,,306.5,PREPAID
2471,Mobile - Android,Delivered,D,232948,560048,2022-Apr-02 10:36:00,2022-Apr-02 10:51:00,2022-Apr-02 10:53:00,2022-Apr-02 10:54:00,2022-Apr-02 10:56:00,2022-Apr-02 11:18:00,2022-Apr-02 11:54:00,2022-Apr-02 11:57:00,2022-Apr-02 13:00:00,,915.12,PREPAID
2472,Mobile - Android,Delivered,O,223070,380051,2022-Apr-02 10:36:00,2022-Apr-02 10:38:00,2022-Apr-02 10:39:00,2022-Apr-02 10:44:00,2022-Apr-02 11:00:00,2022-Apr-02 11:35:00,2022-Apr-02 11:55:00,2022-Apr-02 11:56:00,2022-Apr-02 13:00:00,,431.47,PREPAID
2473,Mobile - Android,Delivered,O,226530,700084,2022-Apr-02 10:37:00,2022-Apr-02 10:40:00,2022-Apr-02 10:40:00,2022-Apr-02 10:46:00,2022-Apr-02 11:06:00,2022-Apr-02 11:06:00,2022-Apr-02 12:43:00,2022-Apr-02 12:46:00,2022-Apr-02 13:00:00,,491.5,PREPAID
2474,Mobile - mWeb,Delivered,D,226100,700047,2022-Apr-02 10:37:00,2022-Apr-02 10:40:00,2022-Apr-02 10:42:00,2022-Apr-02 10:43:00,2022-Apr-02 10:45:00,2022-Apr-02 10:51:00,2022-Apr-02 11:27:00,2022-Apr-02 11:28:00,2022-Apr-02 13:00:00,,1288.8,PREPAID
2475,Mobile - iOS,Out for Delivery,O,224076,400068,2022-Apr-02 10:38:00,2022-Apr-02 10:39:00,2022-Apr-02 10:39:00,2022-Apr-02 10:43:00,2022-Apr-02 11:02:00,2022-Apr-02 12:35:00,,,2022-Apr-02 15:00:00,,1164.7,COD
2476,Mobile - Android,Arrived,O,230456,600090,2022-Apr-02 10:38:00,2022-Apr-02 10:39:00,2022-Apr-02 10:41:00,2022-Apr-02 10:48:00,2022-Apr-02 11:05:00,2022-Apr-02 11:12:00,2022-Apr-02 11:43:00,,2022-Apr-02 13:00:00,,607.29,PREPAID
2477,Mobile - Android,Delivered,D,222110,122002,2022-Apr-02 10:39:00,2022-Apr-02 10:41:00,2022-Apr-02 10:43:00,2022-Apr-02 10:41:00,2022-Apr-02 10:46:00,2022-Apr-02 10:53:00,2022-Apr-02 10:57:00,2022-Apr-02 11:01:00,2022-Apr-02 13:00:00,,577.86,PREPAID
2478,Mobile - Android,Delivered,O,234574,500091,2022-Apr-02 10:40:00,2022-Apr-02 10:41:00,2022-Apr-02 10:44:00,2022-Apr-02 10:49:00,2022-Apr-02 11:32:00,2022-Apr-02 11:34:00,2022-Apr-02 11:59:00,2022-Apr-02 12:03:00,2022-Apr-02 13:00:00,,1039.79,COD
2479,Mobile - iOS,Billed,,226082,700054,2022-Apr-02 10:40:00,2022-Apr-02 10:52:00,2022-Apr-02 10:54:00,2022-Apr-02 10:56:00,,,,,2022-Apr-02 13:00:00,,337.5,COD
2480,Mobile - Android,Out for Delivery,K,231784,600080,2022-Apr-02 10:40:00,2022-Apr-02 10:42:00,2022-Apr-02 10:45:00,2022-Apr-02 11:07:00,2022-Apr-02 11:09:00,2022-Apr-02 11:20:00,,,2022-Apr-02 13:00:00,,430,PREPAID
2481,Mobile - Android,Delivered,O,222212,302012,2022-Apr-02 10:41:00,2022-Apr-02 10:53:00,2022-Apr-02 10:56:00,2022-Apr-02 11:25:00,2022-Apr-02 11:33:00,2022-Apr-02 11:34:00,2022-Apr-02 12:43:00,2022-Apr-02 12:43:00,2022-Apr-02 13:00:00,,370.48,PREPAID
2482,Mobile - Android,Delivered,K,222928,302012,2022-Apr-02 10:41:00,2022-Apr-02 10:51:00,2022-Apr-02 10:52:00,2022-Apr-02 10:56:00,2022-Apr-02 11:02:00,2022-Apr-02 11:27:00,2022-Apr-02 12:38:00,2022-Apr-02 12:41:00,2022-Apr-02 13:00:00,,606.58,PREPAID
2483,Mobile - Android,Delivered,D,231294,500090,2022-Apr-02 10:42:00,2022-Apr-02 10:53:00,2022-Apr-02 10:56:00,2022-Apr-02 11:03:00,2022-Apr-02 11:04:00,2022-Apr-02 11:14:00,2022-Apr-02 11:48:00,2022-Apr-02 11:49:00,2022-Apr-02 13:00:00,,725.92,PREPAID
2484,Mobile - Android,Delivered,D,231630,500032,2022-Apr-02 10:42:00,2022-Apr-02 10:43:00,2022-Apr-02 10:46:00,2022-Apr-02 10:47:00,2022-Apr-02 10:49:00,2022-Apr-02 10:56:00,2022-Apr-02 11:02:00,2022-Apr-02 11:06:00,2022-Apr-02 13:00:00,,410,PREPAID
2485,Mobile - mWeb,Delivered,D,226392,700059,2022-Apr-02 10:42:00,2022-Apr-02 10:44:00,2022-Apr-02 10:45:00,2022-Apr-02 10:52:00,2022-Apr-02 10:54:00,2022-Apr-02 10:57:00,2022-Apr-02 11:09:00,2022-Apr-02 11:10:00,2022-Apr-02 13:00:00,,620.58,PREPAID
2486,Mobile - Android,Out for Delivery,D,230720,560037,2022-Apr-02 10:42:00,2022-Apr-02 10:44:00,2022-Apr-02 10:46:00,2022-Apr-02 10:48:00,2022-Apr-02 10:49:00,2022-Apr-02 10:58:00,,,2022-Apr-02 13:00:00,,1147.68,PREPAID
2487,Mobile - iOS,Cancelled,K,226290,700028,2022-Apr-02 10:43:00,2022-Apr-02 10:59:00,2022-Apr-02 11:00:00,2022-Apr-02 11:27:00,2022-Apr-02 11:44:00,,,,2022-Apr-02 13:30:00,2022-Apr-02 14:29:00,1354.28,PREPAID
2488,Mobile - mWeb,Delivered,O,226904,700027,2022-Apr-02 10:43:00,2022-Apr-02 11:00:00,2022-Apr-02 11:03:00,2022-Apr-02 11:11:00,2022-Apr-02 11:35:00,2022-Apr-02 11:49:00,2022-Apr-02 12:06:00,2022-Apr-02 12:06:00,2022-Apr-02 13:30:00,,337.84,PREPAID
2489,Desktop - Website,Arrived,O,232916,600096,2022-Apr-02 10:44:00,2022-Apr-02 10:46:00,2022-Apr-02 10:48:00,2022-Apr-02 10:49:00,2022-Apr-02 11:06:00,2022-Apr-02 11:15:00,2022-Apr-02 11:49:00,,2022-Apr-02 13:00:00,,340,PREPAID
2490,Mobile - Android,Delivered,D,222080,110070,2022-Apr-02 10:44:00,2022-Apr-02 10:47:00,2022-Apr-02 10:49:00,2022-Apr-02 10:54:00,2022-Apr-02 10:55:00,2022-Apr-02 11:07:00,2022-Apr-02 11:46:00,2022-Apr-02 11:46:00,2022-Apr-02 13:00:00,,800,PREPAID
2491,Mobile - Android,Delivered,D,226284,700026,2022-Apr-02 10:44:00,2022-Apr-02 10:45:00,2022-Apr-02 10:46:00,2022-Apr-02 11:17:00,2022-Apr-02 11:19:00,2022-Apr-02 11:27:00,2022-Apr-02 11:37:00,2022-Apr-02 11:41:00,2022-Apr-02 13:00:00,,499,COD
2492,Mobile - Android,Delivered,O,226206,700025,2022-Apr-02 10:46:00,2022-Apr-02 11:10:00,2022-Apr-02 11:13:00,2022-Apr-02 11:19:00,2022-Apr-02 11:53:00,2022-Apr-02 11:53:00,2022-Apr-02 12:42:00,2022-Apr-02 12:43:00,2022-Apr-02 13:30:00,,860.92,COD
2493,Mobile - iOS,Delivered,D,228130,500020,2022-Apr-02 10:46:00,2022-Apr-02 11:01:00,2022-Apr-02 11:04:00,2022-Apr-02 11:06:00,2022-Apr-02 11:08:00,2022-Apr-02 11:24:00,2022-Apr-02 11:42:00,2022-Apr-02 11:43:00,2022-Apr-02 13:30:00,,591.38,PREPAID
2494,Mobile - Android,Delivered,D,228116,500090,2022-Apr-02 10:47:00,2022-Apr-02 11:11:00,2022-Apr-02 11:13:00,2022-Apr-02 11:14:00,2022-Apr-02 11:28:00,2022-Apr-02 11:37:00,2022-Apr-02 11:56:00,2022-Apr-02 11:59:00,2022-Apr-02 13:30:00,,733.73,PREPAID
2495,Mobile - iOS,Delivered,D,226648,700136,2022-Apr-02 10:47:00,2022-Apr-02 10:48:00,2022-Apr-02 10:50:00,2022-Apr-02 10:53:00,2022-Apr-02 10:55:00,2022-Apr-02 11:09:00,2022-Apr-02 11:26:00,2022-Apr-02 11:27:00,2022-Apr-02 13:00:00,,318.79,PREPAID
2496,Mobile - Android,Delivered,D,223008,201305,2022-Apr-02 10:47:00,2022-Apr-02 10:48:00,2022-Apr-02 10:51:00,2022-Apr-02 10:54:00,2022-Apr-02 10:55:00,2022-Apr-02 11:16:00,2022-Apr-02 11:57:00,2022-Apr-02 11:58:00,2022-Apr-02 13:00:00,,500,PREPAID
2497,Mobile - iOS,Delivered,O,222070,110017,2022-Apr-02 10:47:00,2022-Apr-02 10:49:00,2022-Apr-02 10:51:00,2022-Apr-02 11:03:00,2022-Apr-02 11:04:00,2022-Apr-02 11:19:00,2022-Apr-02 11:36:00,2022-Apr-02 11:36:00,2022-Apr-02 13:00:00,,565.62,PREPAID
2498,Mobile - Android,Out for Delivery,D,232788,560067,2022-Apr-02 10:48:00,2022-Apr-02 11:01:00,2022-Apr-02 11:03:00,2022-Apr-02 11:04:00,2022-Apr-02 11:17:00,2022-Apr-02 11:25:00,,,2022-Apr-02 13:30:00,,505.89,PREPAID
2499,Mobile - iOS,Cancelled,D,224030,400709,2022-Apr-02 10:50:00,2022-Apr-02 12:11:00,2022-Apr-02 12:13:00,2022-Apr-02 12:22:00,2022-Apr-02 12:23:00,,,,2022-Apr-02 14:30:00,2022-Apr-02 14:57:00,319.72,COD
2500,Mobile - Android,Assigned,D,226584,700099,2022-Apr-02 10:50:00,2022-Apr-02 11:07:00,2022-Apr-02 11:09:00,2022-Apr-02 11:14:00,2022-Apr-02 11:15:00,,,,2022-Apr-02 13:30:00,,340.24,PREPAID
2501,Mobile - mWeb,Delivered,D,222596,110070,2022-Apr-02 10:50:00,2022-Apr-02 10:54:00,2022-Apr-02 10:56:00,2022-Apr-02 10:58:00,2022-Apr-02 11:00:00,2022-Apr-02 11:05:00,2022-Apr-02 11:35:00,2022-Apr-02 11:35:00,2022-Apr-02 13:00:00,,300,PREPAID
2502,Mobile - Android,Delivered,K,227246,700157,2022-Apr-02 10:52:00,2022-Apr-02 10:57:00,2022-Apr-02 10:59:00,2022-Apr-02 11:00:00,2022-Apr-02 11:02:00,2022-Apr-02 11:08:00,2022-Apr-02 11:09:00,2022-Apr-02 11:11:00,2022-Apr-02 13:00:00,,570,PREPAID
2503,Mobile - mWeb,Cancelled,D,226380,700093,2022-Apr-02 10:52:00,2022-Apr-02 11:12:00,2022-Apr-02 11:14:00,2022-Apr-02 11:20:00,2022-Apr-02 11:22:00,2022-Apr-02 11:31:00,,,2022-Apr-02 13:30:00,2022-Apr-02 11:56:00,455.4,COD
2504,Mobile - mWeb,Cancelled,K,230310,560066,2022-Apr-02 10:53:00,2022-Apr-02 10:55:00,2022-Apr-02 10:56:00,2022-Apr-02 11:03:00,2022-Apr-02 11:04:00,,,,2022-Apr-02 13:00:00,2022-Apr-02 11:33:00,1379.5,PREPAID
2505,Mobile - iOS,Delivered,O,226618,700023,2022-Apr-02 10:53:00,2022-Apr-02 10:54:00,2022-Apr-02 10:56:00,2022-Apr-02 10:58:00,2022-Apr-02 11:24:00,2022-Apr-02 11:24:00,2022-Apr-02 11:59:00,2022-Apr-02 12:03:00,2022-Apr-02 13:00:00,,1407,COD
2506,Mobile - Android,Out for Delivery,D,222116,110019,2022-Apr-02 10:53:00,2022-Apr-02 10:55:00,2022-Apr-02 10:56:00,2022-Apr-02 11:28:00,2022-Apr-02 11:30:00,2022-Apr-02 11:40:00,,,2022-Apr-02 13:00:00,,1124.5,PREPAID
2507,Mobile - Android,Cancelled,,232700,500085,2022-Apr-02 10:54:00,,,,,,,,2022-Apr-02 13:00:00,2022-Apr-02 13:17:00,1139.05,PREPAID
2508,Mobile - Android,Delivered,D,234574,500089,2022-Apr-02 10:54:00,2022-Apr-02 10:55:00,2022-Apr-02 10:58:00,2022-Apr-02 10:59:00,2022-Apr-02 11:00:00,2022-Apr-02 11:08:00,2022-Apr-02 11:15:00,2022-Apr-02 11:18:00,2022-Apr-02 13:00:00,,396,PREPAID
2509,Mobile - iOS,Delivered,D,231760,600087,2022-Apr-02 10:54:00,2022-Apr-02 10:55:00,2022-Apr-02 10:57:00,2022-Apr-02 10:59:00,2022-Apr-02 11:01:00,2022-Apr-02 11:08:00,2022-Apr-02 11:23:00,2022-Apr-02 11:26:00,2022-Apr-02 13:00:00,,959.08,PREPAID
2510,Mobile - Android,Delivered,K,226342,700017,2022-Apr-02 10:55:00,2022-Apr-02 10:56:00,2022-Apr-02 10:57:00,2022-Apr-02 11:00:00,2022-Apr-02 11:02:00,2022-Apr-02 11:16:00,2022-Apr-02 11:35:00,2022-Apr-02 11:36:00,2022-Apr-02 13:00:00,,751.18,COD
2511,Mobile - iOS,Delivered,O,231612,560103,2022-Apr-02 10:55:00,2022-Apr-02 10:57:00,2022-Apr-02 10:59:00,2022-Apr-02 11:18:00,2022-Apr-02 11:35:00,2022-Apr-02 11:37:00,2022-Apr-02 12:10:00,2022-Apr-02 12:10:00,2022-Apr-02 13:00:00,,850.4,PREPAID
2512,Mobile - Android,Arrived,D,234204,600100,2022-Apr-02 10:55:00,2022-Apr-02 10:56:00,2022-Apr-02 10:58:00,2022-Apr-02 11:00:00,2022-Apr-02 11:02:00,2022-Apr-02 11:14:00,2022-Apr-02 11:21:00,,2022-Apr-02 13:00:00,,942,PREPAID
2513,Mobile - Android,Delivered,K,224310,400610,2022-Apr-02 10:55:00,2022-Apr-02 11:13:00,2022-Apr-02 11:13:00,2022-Apr-02 11:17:00,2022-Apr-02 11:19:00,2022-Apr-02 11:32:00,2022-Apr-02 11:43:00,2022-Apr-02 11:44:00,2022-Apr-02 13:30:00,,1118.71,PREPAID
2514,Mobile - Android,Delivered,O,222376,122017,2022-Apr-02 10:56:00,2022-Apr-02 11:13:00,2022-Apr-02 11:17:00,2022-Apr-02 11:31:00,2022-Apr-02 11:34:00,2022-Apr-02 11:51:00,2022-Apr-02 11:52:00,2022-Apr-02 11:56:00,2022-Apr-02 13:30:00,,372,PREPAID
2515,Mobile - Android,Delivered,D,222102,201301,2022-Apr-02 10:56:00,2022-Apr-02 10:58:00,2022-Apr-02 11:00:00,2022-Apr-02 11:01:00,2022-Apr-02 11:03:00,2022-Apr-02 11:22:00,2022-Apr-02 12:19:00,2022-Apr-02 12:20:00,2022-Apr-02 13:00:00,,959.2,PREPAID
2516,Mobile - Android,Assigned,D,223008,201301,2022-Apr-02 10:56:00,2022-Apr-02 10:58:00,2022-Apr-02 11:00:00,2022-Apr-02 11:04:00,2022-Apr-02 11:05:00,,,,2022-Apr-02 13:00:00,,312.2,PREPAID
2517,Mobile - Android,Delivered,D,226528,700052,2022-Apr-02 10:56:00,2022-Apr-02 10:59:00,2022-Apr-02 11:03:00,2022-Apr-02 11:13:00,2022-Apr-02 11:15:00,2022-Apr-02 11:28:00,2022-Apr-02 12:00:00,2022-Apr-02 12:04:00,2022-Apr-02 13:00:00,,511,PREPAID
2518,Mobile - Android,Delivered,D,222760,380024,2022-Apr-02 10:57:00,2022-Apr-02 10:58:00,2022-Apr-02 10:59:00,2022-Apr-02 11:08:00,2022-Apr-02 11:10:00,2022-Apr-02 11:29:00,2022-Apr-02 11:43:00,2022-Apr-02 11:44:00,2022-Apr-02 13:00:00,,740,PREPAID
2519,Desktop - Website,Delivered,O,230544,560008,2022-Apr-02 10:57:00,2022-Apr-02 11:13:00,2022-Apr-02 11:17:00,2022-Apr-02 11:29:00,2022-Apr-02 11:46:00,2022-Apr-02 12:56:00,2022-Apr-02 13:09:00,2022-Apr-02 13:09:00,2022-Apr-02 13:30:00,,906.34,PREPAID
2520,Mobile - iOS,Delivered,O,224352,400608,2022-Apr-02 10:58:00,2022-Apr-02 11:02:00,2022-Apr-02 11:03:00,2022-Apr-02 11:26:00,2022-Apr-02 11:34:00,2022-Apr-02 11:58:00,2022-Apr-02 12:36:00,2022-Apr-02 12:38:00,2022-Apr-02 13:00:00,,595.37,PREPAID
2521,Mobile - Android,Arrived,K,231840,500048,2022-Apr-02 10:58:00,2022-Apr-02 10:59:00,2022-Apr-02 11:02:00,2022-Apr-02 11:07:00,2022-Apr-02 11:09:00,2022-Apr-02 11:26:00,2022-Apr-02 12:00:00,,2022-Apr-02 13:00:00,,371.6,PREPAID
2522,Mobile - mWeb,Delivered,D,234572,500075,2022-Apr-02 10:59:00,2022-Apr-02 11:24:00,2022-Apr-02 11:26:00,2022-Apr-02 11:30:00,2022-Apr-02 11:41:00,2022-Apr-02 11:47:00,2022-Apr-02 12:11:00,2022-Apr-02 12:13:00,2022-Apr-02 13:30:00,,1263.37,PREPAID
2523,Mobile - Android,Delivered,D,226098,700054,2022-Apr-02 10:59:00,2022-Apr-02 11:16:00,2022-Apr-02 11:18:00,2022-Apr-02 11:19:00,2022-Apr-02 11:20:00,2022-Apr-02 11:34:00,2022-Apr-02 11:49:00,2022-Apr-02 11:52:00,2022-Apr-02 13:30:00,,410.16,PREPAID
2524,Mobile - iOS,Out for Delivery,D,234886,560102,2022-Apr-02 10:59:00,2022-Apr-02 11:52:00,2022-Apr-02 11:55:00,2022-Apr-02 11:55:00,2022-Apr-02 11:57:00,2022-Apr-02 12:01:00,,,2022-Apr-02 14:00:00,,553.11,PREPAID
