ORDERID,SOURCE,ORDERSTATUS,RIDERPROVIDER,STOREID,CUSTOMERPINCODE,ORDERPLACEDDATE,VERIFIEDDATE,STOREPUSHEDDATE,BILLEDDATE,RIDERASSIGNEDDATE,OFDDATE,ARRIVEDDATE,DELIVEREDDATE,PROMISEDTAT,CANCELLEDDATE,MRP,PAYMENTMETHOD
8355,Mobile - Android,Delivered,D,222102,201303,2022-Apr-04 19:32:00,2022-Apr-04 19:34:00,2022-Apr-04 19:35:00,2022-Apr-04 19:41:00,2022-Apr-04 19:44:00,2022-Apr-04 20:13:00,2022-Apr-04 20:43:00,2022-Apr-04 20:45:00,2022-Apr-04 22:00:00,,1277.79,PREPAID
8356,Mobile - Android,Delivered,O,222232,302001,2022-Apr-04 19:32:00,2022-Apr-04 19:34:00,2022-Apr-04 19:35:00,2022-Apr-05 16:16:00,2022-Apr-05 16:26:00,2022-Apr-05 17:17:00,2022-Apr-05 17:53:00,2022-Apr-05 17:54:00,2022-Apr-05 22:00:00,,1020,COD
8357,Mobile - Android,Out for Delivery,D,224330,400078,2022-Apr-04 19:33:00,2022-Apr-04 19:37:00,2022-Apr-04 19:38:00,2022-Apr-04 19:44:00,2022-Apr-04 19:46:00,2022-Apr-04 19:58:00,,,2022-Apr-04 22:00:00,,481.2,PREPAID
8358,Mobile - Android,Delivered,O,226796,700030,2022-Apr-04 19:34:00,2022-Apr-04 20:25:00,2022-Apr-04 20:26:00,2022-Apr-05 08:11:00,2022-Apr-05 08:54:00,2022-Apr-05 08:54:00,2022-Apr-05 09:00:00,2022-Apr-05 09:04:00,2022-Apr-05 23:00:00,,669.45,COD
8359,Mobile - iOS,Arrived,O,235466,500032,2022-Apr-04 19:35:00,2022-Apr-04 19:37:00,2022-Apr-04 19:40:00,2022-Apr-04 19:41:00,2022-Apr-04 19:48:00,2022-Apr-04 19:51:00,2022-Apr-04 20:01:00,,2022-Apr-04 22:00:00,,756.04,PREPAID
8360,Mobile - iOS,Delivered,D,222692,110052,2022-Apr-04 19:35:00,2022-Apr-04 19:36:00,2022-Apr-04 19:38:00,2022-Apr-04 19:39:00,2022-Apr-04 19:41:00,2022-Apr-04 19:48:00,2022-Apr-04 19:53:00,2022-Apr-04 19:54:00,2022-Apr-04 22:00:00,,580,PREPAID
8361,Mobile - Android,Delivered,D,231042,600026,2022-Apr-04 19:35:00,2022-Apr-04 19:45:00,2022-Apr-04 19:48:00,2022-Apr-04 19:53:00,2022-Apr-04 19:56:00,2022-Apr-04 20:07:00,2022-Apr-04 20:47:00,2022-Apr-04 20:49:00,2022-Apr-04 22:00:00,,1043.9,PREPAID
8362,Mobile - Android,Delivered,D,232810,600081,2022-Apr-04 19:35:00,2022-Apr-04 19:38:00,2022-Apr-04 19:40:00,2022-Apr-04 19:41:00,2022-Apr-04 19:42:00,2022-Apr-04 20:13:00,2022-Apr-04 20:24:00,2022-Apr-04 20:28:00,2022-Apr-04 22:00:00,,715,PREPAID
8363,Mobile - Android,Delivered,O,222246,302004,2022-Apr-04 19:35:00,2022-Apr-04 21:11:00,2022-Apr-04 21:13:00,2022-Apr-04 21:55:00,2022-Apr-05 07:25:00,2022-Apr-05 07:43:00,2022-Apr-05 08:07:00,2022-Apr-05 08:09:00,2022-Apr-05 10:30:00,,812.29,PREPAID
8364,Mobile - Android,Delivered,D,230390,500039,2022-Apr-04 19:36:00,2022-Apr-04 19:37:00,2022-Apr-04 19:40:00,2022-Apr-04 19:47:00,2022-Apr-04 19:49:00,2022-Apr-04 19:55:00,2022-Apr-04 20:08:00,2022-Apr-04 20:10:00,2022-Apr-04 22:00:00,,649.98,COD
